09:28:15.590 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:29:43.626 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:30:10.002 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:34:57.144 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:36:43.431 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:41:41.720 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:43:09.347 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:45:35.063 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:50:12.175 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:52:56.213 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:53:53.759 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:54:48.539 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:55:54.053 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:56:44.249 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:57:53.629 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
09:59:47.773 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:00:28.260 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:04:18.515 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:09:48.183 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:10:40.632 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:11:17.401 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:11:51.938 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:12:44.491 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:13:49.173 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:16:19.753 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:18:30.427 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:21:03.892 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:27:56.616 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:29:46.085 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
10:34:21.693 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
11:06:07.850 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
11:07:01.578 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
11:07:32.831 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
11:07:55.537 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
11:09:14.464 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:35:09.207 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:35:39.808 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
